#name	value
ENSMUST00000160944	Gm16088
ENSMUST00000082908	Gm26206
ENSMUST00000162897	Xkr4
ENSMUST00000159265	Xkr4
ENSMUST00000070533	Xkr4
ENSMUST00000161581	Gm1992
ENSMUST00000157708	Gm22848
ENSMUST00000027032	Rp1
ENSMUST00000027035	Sox17
ENSMUST00000116652	Sox17
ENSMUST00000180019	Gm22307
ENSMUST00000182774	Gm6085
ENSMUST00000157375	Gm25493
ENSMUST00000130201	Mrpl15
ENSMUST00000156816	Mrpl15
ENSMUST00000045689	Mrpl15
ENSMUST00000115538	Mrpl15
ENSMUST00000146665	Mrpl15
ENSMUST00000132625	Mrpl15
ENSMUST00000134384	Lypla1
ENSMUST00000027036	Lypla1
ENSMUST00000155020	Lypla1
ENSMUST00000119612	Lypla1
ENSMUST00000137887	Lypla1
ENSMUST00000115529	Lypla1
ENSMUST00000150971	Lypla1
ENSMUST00000131119	Lypla1
ENSMUST00000141278	Lypla1
ENSMUST00000081551	Tcea1
ENSMUST00000165720	Tcea1
ENSMUST00000078030	Gm6104
ENSMUST00000118000	Rgs20
ENSMUST00000002533	Rgs20
ENSMUST00000119256	Rgs20
ENSMUST00000170566	Rgs20
ENSMUST00000147158	Rgs20
ENSMUST00000156289	Rgs20
ENSMUST00000133521	Rgs20
ENSMUST00000168963	Gm17100
ENSMUST00000144339	Gm16041
ENSMUST00000169520	Gm17101
ENSMUST00000044369	Atp6v1h
ENSMUST00000160777	Oprk1
ENSMUST00000027038	Oprk1
ENSMUST00000160339	Oprk1
ENSMUST00000159083	Oprk1
ENSMUST00000175274	Gm22463
ENSMUST00000044180	Npbwr1
ENSMUST00000159906	Rb1cc1
ENSMUST00000160871	Rb1cc1
ENSMUST00000027040	Rb1cc1
ENSMUST00000162210	Rb1cc1
ENSMUST00000160062	Rb1cc1
ENSMUST00000162795	Rb1cc1
ENSMUST00000161327	Rb1cc1
ENSMUST00000159802	Rb1cc1
ENSMUST00000162257	Rb1cc1
ENSMUST00000159206	Rb1cc1
ENSMUST00000159661	Rb1cc1
ENSMUST00000161183	Rb1cc1
ENSMUST00000159349	Rb1cc1
ENSMUST00000159530	Rb1cc1
ENSMUST00000162418	Rb1cc1
ENSMUST00000159656	Rb1cc1
ENSMUST00000159618	4732440D04Rik
ENSMUST00000097832	4732440D04Rik
ENSMUST00000133144	Fam150a
ENSMUST00000140079	St18
ENSMUST00000131494	St18
ENSMUST00000043578	St18
ENSMUST00000139756	St18
ENSMUST00000131467	St18
ENSMUST00000150761	St18
ENSMUST00000151281	St18
ENSMUST00000124167	St18
ENSMUST00000155921	St18
ENSMUST00000139838	St18
ENSMUST00000163727	St18
ENSMUST00000132207	St18
ENSMUST00000142304	St18
ENSMUST00000151015	St18
ENSMUST00000126379	St18
ENSMUST00000130338	St18
ENSMUST00000061280	Pcmtd1
ENSMUST00000182114	Pcmtd1
ENSMUST00000182306	Pcmtd1
ENSMUST00000182823	Pcmtd1
ENSMUST00000182675	Pcmtd1
ENSMUST00000182388	Pcmtd1
ENSMUST00000182892	Pcmtd1
ENSMUST00000183204	Pcmtd1
ENSMUST00000182051	Gm26983
ENSMUST00000029124	Gm9826
ENSMUST00000104056	Gm23274
ENSMUST00000181554	Gm26901
ENSMUST00000132064	Sntg1
ENSMUST00000140295	Sntg1
ENSMUST00000140302	Sntg1
ENSMUST00000115484	Sntg1
ENSMUST00000135046	Sntg1
ENSMUST00000115488	Sntg1
ENSMUST00000144593	Sntg1
ENSMUST00000134075	Sntg1
ENSMUST00000126083	Sntg1
ENSMUST00000140995	Gm16284
ENSMUST00000103887	Gm23358
ENSMUST00000119877	Gm15452
ENSMUST00000102181	Gm24276
ENSMUST00000151704	Gm6152
ENSMUST00000085919	Gm7493
ENSMUST00000083691	Gm24765
ENSMUST00000072079	Rrs1
ENSMUST00000144177	Adhfe1
ENSMUST00000027044	Adhfe1
ENSMUST00000130927	Adhfe1
ENSMUST00000115480	2610203C22Rik
ENSMUST00000145176	2610203C22Rik
ENSMUST00000148585	2610203C22Rik
ENSMUST00000153239	2610203C22Rik
ENSMUST00000148310	2610203C22Rik
ENSMUST00000121942	Gm6161
ENSMUST00000088666	3110035E14Rik
ENSMUST00000088658	Mybl1
ENSMUST00000115468	Mybl1
ENSMUST00000160022	Mybl1
ENSMUST00000160451	Mybl1
ENSMUST00000057438	Vcpip1
ENSMUST00000181821	1700034P13Rik
ENSMUST00000181358	1700034P13Rik
ENSMUST00000168907	Sgk3
ENSMUST00000166384	Sgk3
ENSMUST00000171265	Sgk3
ENSMUST00000097826	Sgk3
ENSMUST00000063059	Gm6195
ENSMUST00000158291	Gm22607
ENSMUST00000171802	Mcmdc2
ENSMUST00000052843	Mcmdc2
ENSMUST00000125294	Mcmdc2
ENSMUST00000140948	Mcmdc2
ENSMUST00000118098	Mcmdc2
ENSMUST00000183059	Mcmdc2
ENSMUST00000182580	Snhg6
ENSMUST00000182819	Snhg6
ENSMUST00000182043	Snhg6
ENSMUST00000182498	Snhg6
ENSMUST00000182742	Snhg6
ENSMUST00000175437	Snord87
ENSMUST00000185184	Tcf24
ENSMUST00000097824	Gm10567
ENSMUST00000027049	Ppp1r42
ENSMUST00000124874	Ppp1r42
ENSMUST00000147000	Ppp1r42
ENSMUST00000130102	Ppp1r42
ENSMUST00000176398	Ppp1r42
ENSMUST00000155163	Ppp1r42
ENSMUST00000134692	Gm15818
ENSMUST00000179194	Gm24674
ENSMUST00000027050	Cops5
ENSMUST00000139578	Cops5
ENSMUST00000150509	Cops5
ENSMUST00000071087	Cspp1
ENSMUST00000143606	Cspp1
ENSMUST00000117415	Cspp1
ENSMUST00000122156	Cspp1
ENSMUST00000118263	Cspp1
ENSMUST00000119714	Cspp1
ENSMUST00000134716	Cspp1
ENSMUST00000155974	Cspp1
ENSMUST00000149214	Cspp1
ENSMUST00000153804	Cspp1
ENSMUST00000123261	Cspp1
ENSMUST00000136283	Cspp1
ENSMUST00000128164	Cspp1
ENSMUST00000136898	Cspp1
ENSMUST00000148663	Cspp1
ENSMUST00000088615	Arfgef1
ENSMUST00000142497	Arfgef1
ENSMUST00000156563	Arfgef1
ENSMUST00000128834	Arfgef1
ENSMUST00000131556	Arfgef1
ENSMUST00000157528	Gm26348
ENSMUST00000153695	Cpa6
ENSMUST00000035577	Cpa6
ENSMUST00000147575	Cpa6
ENSMUST00000140938	Cpa6
ENSMUST00000118350	Gm15604
ENSMUST00000179958	Gm25253
ENSMUST00000119252	Gm15603
ENSMUST00000157960	Gm22963
ENSMUST00000027056	Prex2
ENSMUST00000104130	Gm24173
ENSMUST00000048613	A830018L16Rik
ENSMUST00000171690	A830018L16Rik
ENSMUST00000137824	A830018L16Rik
ENSMUST00000135014	A830018L16Rik
ENSMUST00000142117	A830018L16Rik
ENSMUST00000141512	A830018L16Rik
ENSMUST00000150870	A830018L16Rik
ENSMUST00000141339	A830018L16Rik
